Item Name, Type,Price USD
Clutch Case,purchase,42.34
Chef d'Escadron Rouchard | Gendarmerie Nationale,sale,3.15
CZ75-Auto | Circaetus,sale,0.08
CS20 Case,sale,4.79
CS20 Case,purchase,1.67
Bio-Haz Specialist | SWAT,sale,2.3
Antwerp 2022 Mirage Souvenir Package,sale,9.0
Antwerp 2022 Legends Sticker Capsule,sale,23.78
Antwerp 2022 Dust II Souvenir Package,sale,24.529999999999998
Antwerp 2022 Challengers Sticker Capsule,sale,19.39
AWP | Neo-Noir,sale,35.99
AWP | Acheron,sale,5.85
AUG | Amber Slipstream,purchase,2.89
AK-47 | Slate,purchase,15.9
AK-47 | Slate,sale,16.6
AK-47 | Fuel Injector,sale,113.0
2020 RMR Contenders,purchase,2.44
